;type_of_equipment;type_of_station;station;country;year_of_manufacture;power;number_of_turbines;sum_power
0;Паровые турбины;ГРЭС;Карагандинская ГРЭС ст. № 4;Казахстан;2020;130.0;1.0;130.0
1;Гидравлические турбины;ГЭС;Воткинская ГЭС;Россия;2020;118.0;5.0;590.0
4;Гидравлические турбины;ГЭС;Фархадская ГЭС;Узбекистан;2020;31.0;1.0;31.0
5;Паровые турбины;ТЭС;Сырдарьинская ТЭС ст. № 5, № 6;Узбекистан;2019;325.0;2.0;650.0
6;Паровые турбины;ТЭЦ;Кишеневская ТЭЦ-1 ст.№2;Молдавия;2019;94.0;1.0;94.0
9;Паровые турбины;ТЭС;Свободненская (Амурская) ТЭС ст. № 1, 2;Россия;2019;80.0;2.0;160.0
11;Гидравлические турбины;ГЭС;Нижегородская ГЭС;Россия;2019;74.0;1.0;74.0
12;Паровые турбины;ТЭЦ;Читинская ТЭЦ-1;Россия;2019;60.0;1.0;60.0
13;Гидравлические турбины;ГЭС;Фархадская ГЭС;Узбекистан;2019;34.0;2.0;68.0
16;Паровые турбины;АЭС;Куданкулам АЭС, блок №3;Индия;2018;1000.0;1.0;1000.0
17;Паровые турбины;ТЭС;Сырдарьинская ТЭС ст. № 3, № 4;Узбекистан;2018;300.0;2.0;600.0
19;Гидравлические турбины;ГЭС;Джердап-1 ГЭС;Сербия;2018;205.0;3.0;615.0
22;Паровые турбины;ТЭЦ;Норильская ТЭЦ-2;Россия;2018;130.0;1.0;130.0
27;Паровые турбины;ТЭС;"ТЭС ""Максимо Гомес""";Куба;2018;100.0;1.0;100.0
28;Паровые турбины;ТЭЦ;ТЭЦ-ПВС ПАО «Северсталь»;Россия;2018;81.0;1.0;81.0
29;Гидравлические турбины;ГЭС;Чебоксарская ГЭС;Россия;2018;80.0;13.0;1040.0
33;Паровые турбины;ГРЭС;Невинномысская ГРЭС;Россия;2018;54.0;1.0;54.0
